,province_ID,poor.household.CNT,poor.JPT.CNT,poor.JPT.MOFreg.CNT,poor.JPT.MOFval.CNT,poor.JPT.MOFval.health,poor.JPT.MOFval.living,poor.JPT.MOFval.education,poor.JPT.MOFval.income,poor.JPT.MOFval.accessibility,JPT.MOFval.pov.rate,poor.JPT.MOFval.ind1.CNT,poor.JPT.MOFval.ind2.CNT,poor.JPT.MOFval.ind3.CNT,poor.JPT.MOFval.ind4.CNT,poor.JPT.MOFval.ind5.CNT,poor.JPT.MOFval.ind6.CNT,poor.JPT.MOFval.ind7.CNT,poor.JPT.MOFval.ind8.CNT,poor.JPT.MOFval.ind9.CNT,poor.JPT.MOFval.ind10.CNT,poor.JPT.MOFval.ind11.CNT,poor.JPT.MOFval.ind12.CNT,poor.JPT.MOFval.ind13.CNT,poor.JPT.MOFval.ind14.CNT,poor.JPT.MOFval.ind15.CNT,poor.JPT.MOFval.ind16.CNT,poor.JPT.MOFval.ind17.CNT,poor.JPT.MOFval.ind18.CNT,poor.JPT.MOFval.ind19.CNT,poor.JPT.MOFval.ind20.CNT,poor.JPT.MOFval.ind21.CNT,poor.JPT.MOFval.ind22.CNT,poor.JPT.MOFval.ind23.CNT,poor.JPT.MOFval.ind24.CNT,poor.JPT.MOFval.ind25.CNT,poor.JPT.MOFval.ind26.CNT,poor.JPT.MOFval.ind27.CNT,poor.JPT.MOFval.ind28.CNT,poor.JPT.MOFval.ind29.CNT,poor.JPT.MOFval.ind30.CNT,poor.JPT.MOFval.ind31.CNT,province_name
65,83,3669,8181,1025,1025,418,201,37,467,0,0.5722484619077925,0,0,0,7,4,16,410,57,39,62,151,44,10,0,0,22,0,1,15,44,255,205,478,19,64,13,0,0,0,7,43,ภูเก็ต
66,84,7812,23465,4112,4112,674,1512,579,2228,4,0.7380537422304229,0,4,0,62,206,627,442,354,93,122,1207,210,217,34,10,291,23,25,258,431,695,1447,1806,547,1252,334,1,3,0,239,290,สุราษฎร์ธานี
67,85,1640,4489,765,765,157,140,156,365,0,0.6505323310316677,0,3,0,3,8,57,147,24,6,6,114,6,15,0,0,134,5,2,17,60,226,108,207,31,119,15,0,0,0,28,1,ระนอง
68,86,1239,3952,679,679,99,175,140,333,4,0.2459512226927131,0,0,0,6,13,105,85,71,22,45,81,27,16,1,1,69,11,6,64,87,158,121,318,115,184,29,1,3,0,54,54,ชุมพร
69,90,4795,14307,3800,3800,251,1079,385,2472,5,0.5004299747019478,3,0,0,11,43,334,199,171,17,10,928,105,173,7,0,145,11,13,229,517,1660,464,1194,479,1083,83,5,0,0,85,41,สงขลา
70,91,2528,9085,3415,3415,142,681,722,2114,0,1.52000712155606,0,0,0,5,8,406,131,450,145,195,51,1,11,1,3,505,7,5,210,371,1493,405,301,174,1326,11,0,0,0,16,10,สตูล
71,92,1327,4476,1568,1568,66,254,294,1095,0,0.4001316759852094,5,0,0,5,18,89,38,194,12,13,82,5,19,4,2,162,1,7,130,138,297,828,647,170,385,60,0,0,2,28,34,ตรัง
72,93,4375,13136,3938,3938,604,722,486,2650,8,1.0817611445021922,5,0,0,78,106,203,436,85,12,72,594,42,157,13,1,216,14,8,259,578,1488,834,860,725,1155,181,8,0,2,235,274,พัทลุง
73,94,3482,14718,4945,4945,391,349,1262,3387,0,1.0231824803019267,20,3,33,23,26,99,327,225,9,18,124,7,35,2,0,897,11,14,372,563,1271,1773,1057,42,1433,3,0,0,0,11,35,ปัตตานี
74,95,7092,26523,7770,7770,937,2197,2715,3326,12,2.4129535545259184,1,0,13,82,286,372,602,558,39,129,1583,159,638,31,13,955,16,70,1772,1111,1644,944,1991,143,2604,21,8,4,0,159,319,ยะลา
75,96,1001,3981,1606,1606,30,349,340,1062,0,0.3078887382888211,0,0,16,11,3,0,16,324,0,0,39,0,4,0,2,147,6,0,193,46,132,921,256,8,334,0,0,0,0,0,0,นราธิวาส
