YEA_GOV,PROV,TAX_TYPE,FORM_CODE,AMT_RCV
2566,กำแพงเพชร,7,อส9,4371915
2566,กำแพงเพชร,9,รบ1,320
2566,กำแพงเพชร,11,ป2,413400
2566,กำแพงเพชร,15,รบ1,420.5
2566,ขอนแก่น,1,ทป3,169542087.2
2566,ขอนแก่น,1,ป2,3616800
2566,ขอนแก่น,1,ภงด1,497655186.6
2566,ขอนแก่น,1,ภงด2,139666449.3
2566,ขอนแก่น,1,ภงด3,259414951.7
2566,ขอนแก่น,1,ภงด90,209237352.3
2566,ขอนแก่น,1,ภงด91,116469921.7
2566,ขอนแก่น,1,ภงด93,55590502.93
2566,ขอนแก่น,1,ภงด94,36085014.65
2566,ขอนแก่น,2,ทป3,19367843.87
2566,ขอนแก่น,2,ป2,1920000
2566,ขอนแก่น,2,ภงด50,560208733.6
2566,ขอนแก่น,2,ภงด51,391999919.9
2566,ขอนแก่น,2,ภงด53,491135824.9
2566,ขอนแก่น,2,ภงด54,32514871.31
2566,ขอนแก่น,2,ภงด55,1214379.87
2566,ขอนแก่น,5,ทป3,44253912.86
2566,ขอนแก่น,5,ป2,1857500
2566,ขอนแก่น,5,ภพ30,4108182546
2566,ขอนแก่น,5,ภพ36,16474109.42
2566,ขอนแก่น,6,ทป3,2593049.92
2566,ขอนแก่น,6,ป2,39600
2566,ขอนแก่น,6,ภธ40,116716161.2
2566,ขอนแก่น,7,ทป3,15060
2566,ขอนแก่น,7,อส10,14539764.56
2566,ขอนแก่น,7,อส10.1,1704597
2566,ขอนแก่น,7,อส4,11852565.3
2566,ขอนแก่น,7,อส4ก,196828.09
2566,ขอนแก่น,7,อส4ข,13924741.31
2566,ขอนแก่น,7,อส9,9959052
2566,ขอนแก่น,10,รบ1,0.5
2566,ขอนแก่น,11,ป2,1621100
2566,ขอนแก่น,15,รบ1,1897.64
2566,จันทบุรี,1,ทป3,58172344.65
2566,จันทบุรี,1,ป2,1284300
2566,จันทบุรี,1,ภงด1,62914222.16
2566,จันทบุรี,1,ภงด2,27836339.91
2566,จันทบุรี,1,ภงด3,69002034.9
2566,จันทบุรี,1,ภงด90,100705308.7
2566,จันทบุรี,1,ภงด91,28745398.62
2566,จันทบุรี,1,ภงด93,383963.26
2566,จันทบุรี,1,ภงด94,31197783.78
2566,จันทบุรี,2,ทป3,13420634.34
2566,จันทบุรี,2,ป2,850200
2566,จันทบุรี,2,ภงด50,494609738.5
2566,จันทบุรี,2,ภงด51,235718517.4
2566,จันทบุรี,2,ภงด53,138783414.3
2566,จันทบุรี,2,ภงด54,4603376.03
2566,จันทบุรี,2,ภงด55,418489.43
2566,จันทบุรี,5,ทป3,13938539.32
2566,จันทบุรี,5,ป2,429700
2566,จันทบุรี,5,ภพ30,663938933.6
2566,จันทบุรี,5,ภพ30.2,138790.03
2566,จันทบุรี,5,ภพ36,3656457.15
2566,จันทบุรี,6,ทป3,10464
2566,จันทบุรี,6,ป2,70100
2566,จันทบุรี,6,ภธ40,34006589.43
2566,จันทบุรี,7,อส10,6179012
2566,จันทบุรี,7,อส10.1,603284
2566,จันทบุรี,7,อส4,2241878.37
2566,จันทบุรี,7,อส4ก,67458
2566,จันทบุรี,7,อส4ข,2725061.5
2566,จันทบุรี,7,อส9,2726645
2566,จันทบุรี,11,ป2,641200
2566,จันทบุรี,15,รบ1,2
2566,ฉะเชิงเทรา,1,ทป3,185864247.1
2566,ฉะเชิงเทรา,1,ป2,1122800
2566,ฉะเชิงเทรา,1,ภงด1,1899815708
2566,ฉะเชิงเทรา,1,ภงด2,255174495.2
2566,ฉะเชิงเทรา,1,ภงด3,202382540.9
2566,ฉะเชิงเทรา,1,ภงด90,112768153.8
2566,ฉะเชิงเทรา,1,ภงด91,144611838.1
2566,ฉะเชิงเทรา,1,ภงด93,481510.34
2566,ฉะเชิงเทรา,1,ภงด94,32884213.11
2566,ฉะเชิงเทรา,2,ทป3,69484069.68
2566,ฉะเชิงเทรา,2,ป2,1965600
2566,ฉะเชิงเทรา,2,ภงด50,2565651636
2566,ฉะเชิงเทรา,2,ภงด51,2504741517
2566,ฉะเชิงเทรา,2,ภงด53,1656729911
2566,ฉะเชิงเทรา,2,ภงด54,2913760908
2566,ฉะเชิงเทรา,2,ภงด55,1077812.35
2566,ฉะเชิงเทรา,5,ทป3,72492426.94
2566,ฉะเชิงเทรา,5,ป2,893400
2566,ฉะเชิงเทรา,5,ภพ30,4627859086
2566,ฉะเชิงเทรา,5,ภพ30.2,1726.5
2566,ฉะเชิงเทรา,5,ภพ36,978000641.8
2566,ฉะเชิงเทรา,6,ทป3,415122.35
2566,ฉะเชิงเทรา,6,ป2,40200
2566,ฉะเชิงเทรา,6,ภธ40,49726855.96
2566,ฉะเชิงเทรา,7,อส10,5601402.49
2566,ฉะเชิงเทรา,7,อส10.1,3624493
2566,ฉะเชิงเทรา,7,อส4,21333912.42
2566,ฉะเชิงเทรา,7,อส4ก,166683
2566,ฉะเชิงเทรา,7,อส4ข,4816928.5
2566,ฉะเชิงเทรา,7,อส9,12619004
2566,ฉะเชิงเทรา,11,ป2,2403500
2566,ฉะเชิงเทรา,15,รบ1,2.5
